ime;pivovarna;vrsta;velikost;stopnja_alkohola;drzava;cena;opis
Stillwater Debutante Biere De Garde;Stillwater Artisanal;Saison Beer;0.36;6.4;United States;;A collaboration between two Baltimore-based beer wonders - Stillwater and The Brewer's Art, who helped to pioneer Belgian beer's surge in popularity in the USA.
Stillwater Artisanal Of Love & Regret Flower Saison;Stillwater Artisanal;Saison Beer;0.36;7.2;United States;;A florally-focussed Saison, made in Belgium as a collaboration between Stillwater (from Baltimore) and brewmaster Jef Goetelen (from Antwerp).
Stillwater Stateside Saison Farmhouse Ale;Stillwater Artisanal;Saison Beer;0.36;6.8;United States;3.76;A tasty Saison from the Stillwater folks in the USA, made with a combination of American and New Zealand hops, and it's also been bottle-conditioned.
Stillwater Vacuum;Stillwater Artisanal;IPA (India Pale Ale) Beer;0.36;8.0;United States;4.76;Stillwater's Readymade: Vacuum is a combination of a few styles - it's a smoked black IPA!
Summer Wine Diablo IPA;Summer Wine;IPA (India Pale Ale) Beer;0.33;6.0;England;;This handsome devil is Summer Wine Brewery's Diablo IPA, made with plenty of Citra and Chinook hops. Big ol' whacks of punch-y, pine-y goodness and juicy tropical fruit all the way throughout.
Summer Wine Mokko Milk Stout;Summer Wine;Stout Beer;0.33;6.0;England;;Mokko is Summer Wine Brewery's delicious Milk Stout, made with oodles of dark malts, lactose and a deft touch of East Kent Goldings hops.
Summer Wine Pacer Session IPA;Summer Wine;IPA (India Pale Ale) Beer;0.33;4.1;England;;A fantastic Session IPA from Yorkshire-based brewers, Summer Wine. They've gone and used a combination of American Chinook and Centennial hops along with English Pale and Caramel malts for this one.
Summer Wine Sucker Punch;Summer Wine;Pale Ale Beer;0.33;5.2;England;;Summer Wine Brewery's Sucker Punch Pale Ale is chock-full of big ol' hoppy goodness.
Summer Wine Golden Gate;Summer Wine;Lager / Pilsner Beer;0.33;7.2;England;;With a name like Golden Gate, you might expect this delicious Double-India Lager to hail from the sunny west coast of America. Well, it doesn't.
Stillwater Artisanal Classique Can;Stillwater Artisanal;Saison Beer;0.35;4.5;United States;2.92;The Stillwater brewers in the USA call their Classique Saison a Postmodern beer - a deconstruction of American industrial lager.
Stillwater Yacht (47.3cl);Stillwater Artisanal;Lager / Pilsner Beer;0.47;4.2;United States;;Stillwater's Yacht is situated somewhere between the olden days where the only beers that came in cans were your everyday lagers and the boom of craft brewers putting everything they've got into these
Brew By Numbers 02|16 Golden Ale Saphir & Amarillo;Brew By Numbers;Blonde Beer;0.33;5.4;England;;A deliciously refreshing golden ale from the folks at Brew By Numbers in London. 02|16 is  made using a combination of Amarillo and Saphir hops, resulting in juicy notes of citrus and stone fruit.
Brew By Numbers 08|06 Stout (Oatmeal);Brew By Numbers;Stout Beer;0.33;5.7;England;;A yummy, creamy, somewhat luxurious oatmeal stout from the Brew By Numbers selection.
Brew By Numbers 09|05 Brown Ale Chinook & Centennial;Brew By Numbers;Pale Ale Beer;0.33;6.4;England;;A delicious ale made with both Chinook and Centennial hops (both very popular in USA-style beers) by the Brew By Numbers crew in Bermondsey.
Brew By Numbers 11|03 Session IPA (Mosaic);Brew By Numbers;IPA (India Pale Ale) Beer;0.33;3.8;England;;Brew By Numbers 11|03 is a rather glorious session IPA made with Mosaic hops - big ol' hoppy deliciousness here from those citrus-note-rich Mosaic rascals.
Burning Sky Arise IPA;Burning Sky;IPA (India Pale Ale) Beer;0.33;4.4;England;;A session IPA from Burning Sky Beer in East Sussex - not a huge hoppy kick to this one, though you're still getting plenty of delicious waves of resinous pine and fresh fruit.
Burning Sky Easy Answers IPA;Burning Sky;IPA (India Pale Ale) Beer;0.33;6.0;England;;Fancy a tasty IPA from the Burning Sky Beer selection? We've got an Easy Answer for that question right here!
Buxton Brewery Patersbier;Buxton Brewery;Blonde Beer;0.33;4.0;England;;Patersbier (or Father's Beer, if you will), is a Belgian-inspired brew from the Buxton Brewery. A rather traditionally styled beer filled with Belgian yeast characteristics.
Harviestoun Old Engine Oil Engineer's Reserve;Harviestoun;Dark Ale Beer;0.33;9.0;Scotland;;A higher-strength edition of Harviestoun's excellent Old Engine Oil, a gloriously dark Scottish ale made with Galena, East Kent Goldings and Fuggles hops.
Harviestoun Old Engine Oil;Harviestoun;Dark Ale Beer;0.33;6.0;Scotland;2.15;A classic from the Harviestoun brewery range - Old Engine Old!
The Kernel Pale Ale Chinook Amarillo;The Kernel;APA (American Pale Ale) Beer;0.5;5.3;England;;The Kernel Brewery in London have produced stacks and stacks of delicious and Pale Ales and IPAs using a multitude of hop combinations.
The Kernel Pale Ale Cascade Chinook;The Kernel;APA (American Pale Ale) Beer;0.33;5.3;England;;Another yummy Pale Ale from The Kernal brewery in London, this time making using of Cascade and Chinook hops. Prepare for some delicious hoppy-tropical-fruit notes here...
The Kernel Pale Ale Cascade Mosaic Nelson Sauvin;The Kernel;APA (American Pale Ale) Beer;0.33;5.3;England;;Another top quality Pale Ale from the London brewers Kernel. This time, they've used a trio of well-loved hops - Cascade, Mosaic and Nelson Sauvin.
The Kernel IPA Amarillo Mosaic;The Kernel;IPA (India Pale Ale) Beer;0.33;6.9;England;;A stupendous IPA from the Kernal Brewery in London, made with a combination of Amarillo and Mosaic hops. Perfect for enjoying on a sunny afternoon...
Magic Rock Cannonball;Magic Rock Brewing;IPA (India Pale Ale) Beer;0.33;7.4;England;3.3;I need all of you to stop what you're doing and listen. Cannonball!!!\r\n\r\nA wonderfully hop-forward IPA from the Magic Rock Brewery in Huddersfield, Cannonball is a big ol' blast of deliciousness.
Magic Rock High Wire Grapefruit;Magic Rock Brewing;APA (American Pale Ale) Beer;0.33;5.5;England;2.55;A grapefruit variation on Huddersfield-based brewery Magic Rock's High Wire Pale Ale, inspired by America's West Coast. Loads of fruity hops with grounding notes of refreshing malts...
Magic Rock Salty Kiss;Magic Rock Brewing;Gose Beer;0.33;4.1;England;2.45;Ooh, now this is interesting - it's a Gose beer from Magic Rock Brewing in Huddersfield!
Moor Beer Company Amoor;Moor Beer Company;Porter Beer;0.33;4.5;England;2.76;A rather splendid Porter from south-west-based brewery Moor! If you're a fan of rich, indulgent beers packed with chocolate notes and earthy elements, you might just amore the Moor Amoor...
Moor Beer Company Smokey Horyzon;Moor Beer Company;Rye Beer;0.33;5.0;England;;A tasty, smokey, rye-y beer from Moor Beer Co. in the south west! A well balanced brew, with a subtle hint of peppery rye spice helping along the fragrant smoke...
Pressure Drop Pale Fire;Pressure Drop Brewing;APA (American Pale Ale) Beer;0.33;4.8;England;2.7;Pressure Drop's Pale Fire is a marvellous pale ale packed full of hop goodness.
Pressure Drop Stokey Brown;Pressure Drop Brewing;Dark Ale Beer;0.33;5.1;England;;This is Pressure Drop's Stokey Brown, a delicious dark ale that shows off lots of yummy malty notes along with a generous whack of hop bitterness along the way.
Redchurch Great Eastern IPA;Redchurch Brewery;IPA (India Pale Ale) Beer;0.33;7.4;England;3.56;The Redchurch Brewery use a combination of Centennial, Columbus and Chinook hops to craft their Splendid Great Eastern IPA. Redchurch are currently brewing their excellent beers in Bethnal Green.
Redchurch Hoxton Stout;Redchurch Brewery;Stout Beer;0.33;6.0;England;2.5;A well-balanced Stout from Bethnal Green-based brewers, Redchurch.
Weird Beard Black Perle;Weird Beard Brew Company;Coffee / Chocolate / Honey Beer;0.5;3.8;England;;Black Perle is Weird Beard's Milk Coffee Stout, brewed with lactose and whole bean Hasbean coffee.
Weird Beard Decadence Stout;Weird Beard Brew Company;Stout Beer;0.5;5.5;England;;As you could probably guess from the name and the skull wearing a top hat and monocle on the label, Weird Beard's Decadence Stout is a rich, roast-y, chocolate-y, all-around-yummy treat for your taste
Weird Beard Faithless Spreadsheet Ninja;Weird Beard Brew Company;Lager / Pilsner Beer;0.33;5.5;England;;A black pilsner inspired by the beers of Japan from Weird Beard brewers in West London, made with carafa malt and a hint of roasted barley, alongside Summit, Hersbrucker and Sorachi Ace hops.
Weird Beard K*ntish Town Beard 50cl;Weird Beard Brew Company;Wheat / Wit / White Beer;0.5;5.5;England;;An American-style wheat ale from the wonderful Weird Beard Brew Co., made somewhat like a Pale Ale with a good portion of wheat at its core with an American ale yeast.
Weird Beard Little Things That Kill;Weird Beard Brew Company;IPA (India Pale Ale) Beer;0.5;3.9;England;;A sessionable IPA from Ealing's Weird Beard Brewing! The label described it as a violently hoppy little beer\
Weird Beard Saison 14;Weird Beard Brew Company;Saison Beer;0.5;5.6;England;;A superbly refreshing Saison from the Weird Beard Brew Co. in West London, which has been made with Pacific Gem hops and dry-hopped with Sorachi Ace hops.
Weird Beard Traditional Spreadsheet Ninja;Weird Beard Brew Company;Lager / Pilsner Beer;0.33;5.5;England;;When faced with a shortage of Citra hops, Weird Bread Brew Co. decided to make some variations of their Spreadsheet Ninja pilsner!
Westerham Hop Rocket IPA;Westerham Brewery;IPA (India Pale Ale) Beer;0.33;5.5;England;;5... 4... 3... 2... 1... Lift off, we have lift of the Westerham Hop Rocket IPA!
Redchurch Sauvage Blanc;Redchurch Brewery;Saison Beer;0.75;9.2;England;;From the Redchurch Brewery's Wild Series comes their Sauvage Blanc Saison, made using coriander seed, crushed white grape and foraged bay leaves in the brew.
Redchurch Tartelette;Redchurch Brewery;Sour / Lambic Beer;0.33;4.5;England;;A refreshing, zesty sour beer from the Redchurch Brewery in Bethnal Green - this has been brewed with an initial lactobacillus souring followed by a saccharomyces fermentation.
Redchurch Urban Farmhouse;Redchurch Brewery;Saison Beer;0.75;4.1;England;7.62;A rather classically styled Saison with a touch of sour yeast at its core - great as a refreshing treat on warm afternoons.
Wiper and True In The Pines Amber Ale;Wiper and True;Pale Ale Beer;0.33;5.1;England;;An Amber Ale with a rather evocative name from Wiper & True, a Bristol-based brewery.
Wiper and True Hard Shake Milk Stout;Wiper and True;Stout Beer;0.33;6.1;England;;A big-bodied Milk Stout from Wiper & True, a Bristol-based brewery with oodles of style and talent.
Wiper and True White Cloud IPA;Wiper and True;IPA (India Pale Ale) Beer;0.5;6.6;England;;For their White Cloud IPA, Wiper & True use a combination of bright, zesty New Zealand hops to give this brew delicious notes of fresh, tangy fruit.
Wiper and True Amber Ale Amarillo;Wiper and True;Pale Ale Beer;0.5;5.3;England;;From Bristol-based brewery Wiper & True comes the first single hop pale ale, focussing on the awesome Amarillo hop! Dee-lish!
Wiper and True Australia Pale Ale;Wiper and True;APA (American Pale Ale) Beer;0.5;5.6;England;;Only Australian hops are used to make Wiper & True's Australia Pale Ale. Go into this one expecting big ol' bushels of fresh fruit notes and you won't be disappointed.
Wiper and True Small Beer No.14;Wiper and True;IPA (India Pale Ale) Beer;0.5;2.4;England;;The Wiper & True brewers from Bristol do like to put together a tasty small beer - they've got quite a series going! This is their Small beer No.
Wiper and True Triptych No.11;Wiper and True;APA (American Pale Ale) Beer;0.5;4.9;England;;This is the 11th instalment of Wiper & True's Truptych series - a fruity Pale Ale made with Citra, Amarillo and Mosaic hops.
Wiper and True Abbey Rye Winter Ale;Wiper and True;Winter / Christmas Ale Beer;0.75;6.5;England;;Wiper & True's Abbey Rye Winter Ale is packed with sweet spice and caramelised fruit notes - this'll mostly certainly make for a warming treat during the chilly winter months.
Brussels Beer Project Babylone;Brussels Beer Project;Bitter Beer;0.33;7.0;Belgium;;Babylone comes to us via the Belgian Beer Project, with part of its recipe coming from recycled bread! Fresh bread from supermarkets makes up a big portion of food waste, which is a massive shame.
Brussels Beer Project Dark Sister;Brussels Beer Project;IPA (India Pale Ale) Beer;0.33;6.6;Belgium;;A Belgian IPA made with roasted and toasted malt by the Brussels Beer Project. This was conceived as an evil twin to their Delta IPA...
Brussels Beer Project Grosse Bertha;Brussels Beer Project;Wheat / Wit / White Beer;0.33;7.0;Belgium;;A Bavarian-style Hefeweizen from the Brussels Beer Project, who like to try different things rather than to keep going over the same styles of beers that have been produced in Belgium for hundreds of
Brussels Beer Project Tante Tatin;Brussels Beer Project;Fruit Beer;0.33;11.2;Belgium;;A Belgian Quadruple beer from the Brussels Beer Project - but of course, that's not all that's going on with this one! They've brewed this using some scrummy Jonagold apples in the mix, resulting in..
Dochter Van De Korenaar Extase;Brouwerij De Dochter van de Korenaar;IPA (India Pale Ale) Beer;0.33;8.5;Belgium;7.67;A big, bold IPA from Belgian brewers, Brouwerij De Dochter Van De Korenaar. They are located in the Belgian side of Baarle, which shared some very complicated borders with the Dutch side of Baarle.
Liefmans Goudenband;Liefmans Brewery;Sour / Lambic Beer;0.33;8.0;Belgium;4.02;A fantastic Lambic here from the Liefmans range which is allowed to rest after brewing in open vats for four to twelve months and then blended with some younger beer to finish it off.
Petrus Aged Red;Petrus;Sour / Lambic Beer;0.33;8.5;Belgium;;An aged sour cherry beer from the Belgian Petrus range, made by combining a small portion of their Aged Pale (which spends up to 2 years maturing) and plenty of their Dubbel Brun along with cherries.
Petrus Oud Bruin;Petrus;Sour / Lambic Beer;0.33;5.5;Belgium;;A Belgian brown sour beer from the Petrus range, made with a combination of their aged Pale (which spends up to 2 years maturing) and young brown beer.
St-Feuillien Cuvée De Noël (33cl);Brasserie St-Feuillien;Winter / Christmas Ale Beer;0.33;9.0;Belgium;4.06;St-Feuillien Cuvée de Noël is about as Christmas-y as watching Santa drop Chocolate Oranges down your chimney while Rudolf and his pals play charades on your roof.
To Øl Black Maria IPA;To øl;IPA (India Pale Ale) Beer;0.33;8.1;Denmark;;A somewhat American-style Black IPA from To Øl, who are based in Denmark but brew at a number of different breweries. This has been made with a focus on Carafa malts and plenty of delicious hops.
To Øl Cloud 9 Wit;To øl;Wheat / Wit / White Beer;0.33;4.6;Denmark;;A superb wheat beer from the To Øl chaps, made with a combination of Curaçao orange peel and mango, as well as some rather up-front hops.
To Øl First Frontier;To øl;IPA (India Pale Ale) Beer;0.33;7.1;Denmark;;A big ol' American-style IPA here from the To Øl brewers - it's all about the hops!
To Øl Friends With Benefits;To øl;APA (American Pale Ale) Beer;0.33;5.1;Denmark;;To Øl brewed their Friends With Benefits APA for their friends at Mikkeller and Friends bar (owned by the excellent Mikkeler).
To Øl Garden Of Eden;To øl;IPA (India Pale Ale) Beer;0.33;6.4;Denmark;;A massively fruit-forward IPA from Danish brewers To Øl, which has been brewed with apricot, guava, papaya, passion fruit and mango, as well as Mosaic hops. Fruit salad, anyone?
To Øl Hundelufter Bajer;To øl;IPA (India Pale Ale) Beer;0.33;5.0;Denmark;3.58;A tropical-fruit forward Seassion IPA from To Øl, made for their friends at the Barking Dog in Copenhagen.
